Date,Time,Temp.C
2010/1/14,13:00,10.79
2010/1/14,13:15,10.69
2010/1/14,13:30,10.71
2010/1/14,13:45,10.69
2010/1/14,14:00,10.66
2010/1/14,14:15,10.66
2010/1/14,14:30,10.66
2010/1/14,14:45,10.64
2010/1/14,15:00,10.64
2010/1/14,15:15,10.64
2010/1/14,15:30,10.66
2010/1/14,15:45,10.64
2010/1/14,16:00,10.64
2010/1/14,16:15,10.64
2010/1/14,16:30,10.64
2010/1/14,16:45,10.64
2010/1/14,17:00,10.61
2010/1/14,17:15,10.64
2010/1/14,17:30,10.66
2010/1/14,17:45,10.69
2010/1/14,18:00,10.71
2010/1/14,18:15,10.74
2010/1/14,18:30,10.76
2010/1/14,18:45,10.81
2010/1/14,19:00,10.86
2010/1/14,19:15,10.88
2010/1/14,19:30,10.88
2010/1/14,19:45,10.91
2010/1/14,20:00,10.91
2010/1/14,20:15,10.93
2010/1/14,20:30,10.96
2010/1/14,20:45,10.98
2010/1/14,21:00,10.98
2010/1/14,21:15,11.01
2010/1/14,21:30,11.01
2010/1/14,21:45,11.01
2010/1/14,22:00,11.01
2010/1/14,22:15,11.03
2010/1/14,22:30,11.03
2010/1/14,22:45,11.03
2010/1/14,23:00,11.03
2010/1/14,23:15,11.03
2010/1/14,23:30,11.01
2010/1/14,23:45,11.03
2010/1/15,0:00,11.01
2010/1/15,0:15,11.01
2010/1/15,0:30,10.98
2010/1/15,0:45,10.96
2010/1/15,1:00,10.96
2010/1/15,1:15,10.93
2010/1/15,1:30,10.93
2010/1/15,1:45,10.93
2010/1/15,2:00,10.91
2010/1/15,2:15,10.91
2010/1/15,2:30,10.88
2010/1/15,2:45,10.86
2010/1/15,3:00,10.86
